replication,fcfs_search_time_s,agent_search_time_s,fcfs_utilisation_pct,agent_utilisation_pct
1,194.0,123.6,64.0,82.3
2,184.9,115.9,65.0,81.8
3,189.3,148.4,62.2,84.9
4,179.0,118.5,64.4,84.2
5,180.9,125.9,64.5,82.8
6,196.6,126.7,59.2,86.1
7,185.5,140.5,64.1,84.6
8,204.6,132.9,60.0,84.7
9,160.2,123.6,67.0,82.9
10,195.0,125.5,61.9,82.5
11,194.4,128.1,64.2,83.9
12,196.3,136.1,66.1,82.6
13,136.6,103.0,61.2,84.0
14,193.8,127.8,61.4,85.2
15,158.5,122.5,62.1,85.6
16,148.8,121.7,67.2,84.1
17,206.5,137.2,60.7,84.0
18,200.2,114.4,63.1,84.4
19,187.8,122.9,63.3,84.3
20,196.5,132.0,63.1,82.5
21,185.0,124.3,63.3,81.5
22,185.6,126.6,62.0,85.7
23,180.4,126.3,61.3,83.6
24,196.3,134.1,62.6,83.2
25,154.4,106.5,58.8,85.0
26,182.8,130.5,67.4,85.6
27,165.8,113.4,61.8,86.0
28,175.2,101.8,62.3,84.0
29,173.6,112.3,61.8,82.0
30,171.5,117.0,64.1,86.1
